aticker,coname,fmonth,fyear,che,ibd,teq,sale,oiadp,ni,dp,amort,avg_annual_mktcap,ticker
A087010,펩트론,12.0,2023,4264394000.0,9132987200.0,36127012880.0,3341893570.0,-15883908210.0,-15921881870.0,2776033000.0,118282000.0,406231000000.0,87010
A002790,아모레G,12.0,2023,628997675000.0,374149381230.0,6525132028640.0,4021343038940.0,152001477210.0,234714547920.0,259187000000.0,0.0,2692748000000.0,2790
A000120,CJ대한통운,12.0,2023,290135225000.0,3217789872800.0,4043096242870.0,11767893663260.0,480234863150.0,242876054880.0,522780176000.0,56403508000.0,1924729000000.0,120
A009420,한올바이오파마,12.0,2023,33722513000.0,1290529640.0,186218369830.0,134909837620.0,2211359610.0,3508607550.0,3012838000.0,234107000.0,1257878000000.0,9420
A111770,영원무역,12.0,2023,896394078000.0,685504372600.0,3587970520500.0,3604377025400.0,637146368830.0,533070681250.0,91571743000.0,6697720000.0,2195941000000.0,111770
A139480,이마트,12.0,2023,1771232862000.0,11539805520000.0,13834230770280.0,29472247894450.0,-46935431340.0,-187466317750.0,1362073000000.0,233823000000.0,2421146000000.0,139480
A062040,산일전기,12.0,2023,21183849000.0,18274373000.0,125905906380.0,214537829760.0,46604557780.0,39051131670.0,2774108000.0,10647000.0,,62040
A112610,씨에스윈드,12.0,2023,207120649000.0,955263608050.0,944418879010.0,1520162115490.0,104666101620.0,18936302300.0,59012941000.0,14910035000.0,2858180000000.0,112610
A237690,에스티팜,12.0,2023,50097156000.0,192081590600.0,386906418510.0,284991652400.0,33511661590.0,17523410960.0,22325125000.0,701574000.0,1453327000000.0,237690
A023530,롯데쇼핑,12.0,2023,1589717985000.0,14257993396830.0,10836449718810.0,14555863880290.0,508404731640.0,169180436380.0,1050633888000.0,123094349000.0,2237225000000.0,23530
A065350,신성델타테크,12.0,2023,41281717000.0,229799272940.0,307573599690.0,833704098770.0,28414044130.0,20060610920.0,19638471000.0,9114000.0,657951000000.0,65350
A007310,오뚜기,12.0,2023,324550590000.0,901827819960.0,2063540799080.0,3454548477400.0,254893843560.0,161681368670.0,173601609000.0,8934320000.0,1656281000000.0,7310
A000240,한국앤컴퍼니,12.0,2023,196740518000.0,339498907000.0,4016691459370.0,1089668057100.0,256563452620.0,187234321150.0,32374881000.0,1660763000.0,1218748000000.0,240
A328130,루닛,12.0,2023,31654786000.0,19862844000.0,235109506780.0,25080238710.0,-42216718380.0,-36798251570.0,3395226000.0,376983000.0,1536716000000.0,328130
A006360,GS건설,12.0,2023,2244924956000.0,5700078720000.0,4885159860810.0,13436684904470.0,-387945401080.0,-419500544880.0,167264000000.0,26139000000.0,1554432000000.0,6360
